id,price,year,manufacturer,model,odometer,title_status,VIN,type,paint_color,image_url
7222695916,33590,2014,gmc,sierra 1500 crew cab slt,57923,clean,3GTP1VEC4EG551563,pickup,white,https://images.craigslist.org/00R0R_lwWjXSEWNa7z_0x20oM_600x450.jpg
7218891961,22590,2010,chevrolet,silverado 1500,71229,clean,1GCSCSE06AZ123805,pickup,blue,https://images.craigslist.org/00R0R_lwWjXSEWNa7z_0x20oM_600x450.jpg
7221797935,39590,2020,chevrolet,silverado 1500 crew,19160,clean,3GCPWCED5LG130317,pickup,red,https://images.craigslist.org/01212_jjirIWa0y02z_0gw0co_600x450.jpg
7222270760,30990,2017,toyota,tundra double cab sr,41124,clean,5TFRM5F17HX120972,pickup,red,https://images.craigslist.org/00x0x_1y9kIOzGCFaz_0gw0co_600x450.jpg
7222379453,27990,2012,gmc,sierra 2500 hd extended cab,68696,clean,1GT220CG8CZ231238,pickup,black,https://images.craigslist.org/00V0V_ftJbKrOgdi5z_0gw0co_600x450.jpg
7221952215,34590,2016,chevrolet,silverado 1500 double,29499,clean,1GCVKREH6GZ228691,pickup,silver,https://images.craigslist.org/00E0E_iKN07Sh7ouz_0gw0co_600x450.jpg
7209064557,29990,2016,chevrolet,colorado extended cab,17302,clean,1GCHTCE37G1186784,pickup,red,https://images.craigslist.org/00N0N_1xMPvfxRAIdz_0gw0co_600x450.jpg
7219485069,38590,2011,chevrolet,corvette grand sport,30237,clean,1G1YR3DW3B5102190,other,red,https://images.craigslist.org/00U0U_kKYnS1LWh82z_0gw0co_600x450.jpg
7218325704,32990,2017,jeep,wrangler unlimited sport,30041,clean,1C4BJWDG5HL705371,other,silver,https://images.craigslist.org/00u0u_bB3krjp4B3lz_0gw0co_600x450.jpg
7217788283,24590,2017,chevrolet,silverado 1500 regular,40784,clean,1GCNCNEH7HZ118773,pickup,white,https://images.craigslist.org/01515_iDoR0Hy6JSnz_0gw0co_600x450.jpg
7217147606,30990,2016,chevrolet,colorado crew cab z71,34940,clean,1GCGTDE32G1341288,pickup,blue,https://images.craigslist.org/00p0p_cfEoPpHPz3Kz_0gw0co_600x450.jpg
7209027818,27990,2014,toyota,tacoma access cab pickup,17805,clean,5TFTX4CN3EX042751,pickup,red,https://images.craigslist.org/00X0X_1cMDo5xqSuAz_0gw0co_600x450.jpg
7223509794,37990,2016,chevrolet,camaro ss coupe 2d,9704,clean,1G1FF1R79G0140582,coupe,red,https://images.craigslist.org/00i0i_5fpVmidrepGz_0gw0co_600x450.jpg
7222753076,33590,2014,toyota,tundra crewmax sr5 pickup,55251,clean,5TFEY5F15EX169621,pickup,red,https://images.craigslist.org/00Q0Q_lVfMOkbtUOmz_0gw0co_600x450.jpg
7222206015,30990,2019,ford,ranger supercrew xl pickup,1834,clean,1FTER4EH3KLA31326,pickup,black,https://images.craigslist.org/00202_4Fz2gXkV8pkz_0gw0co_600x450.jpg
7220030122,27990,2018,nissan,frontier crew cab pro-4x,37332,clean,1N6AD0EV5JN745213,pickup,silver,https://images.craigslist.org/00Q0Q_4slPoGJwoj0z_0gw0co_600x450.jpg
7216672204,34590,2018,ford,f150 super cab xl pickup 4d,20856,clean,1FTEX1CBXJKD41626,pickup,white,https://images.craigslist.org/00w0w_cGdvJjETZcNz_0gw0co_600x450.jpg
7215617048,30590,2016,toyota,tacoma double cab sr5,30176,clean,3TMAZ5CN7GM019182,pickup,red,https://images.craigslist.org/00505_3mrEfCl3fWWz_0gw0co_600x450.jpg
7213839225,32990,2020,jeep,wrangler sport suv 2d,20581,clean,1C4GJXAN4LW180633,SUV,silver,https://images.craigslist.org/00w0w_c22tgqPHhymz_0gw0co_600x450.jpg
7213843538,22590,2017,ram,1500 regular cab tradesman,39508,clean,3C6JR6DT3HG557601,pickup,white,https://images.craigslist.org/00U0U_nhVdn8Uqwez_0gw0co_600x450.jpg
7219973522,27990,2020,ford,ranger supercab xl pickup,10688,clean,1FTER1EH1LLA36301,pickup,white,https://images.craigslist.org/01313_9Zne268YnWZz_0gw0co_600x450.jpg
7316814884,31590,2019,cadillac,xt4 sport suv 4d,12102,clean,1GYFZER40KF121673,hatchback,black,https://images.craigslist.org/00v0v_Nmw3hmqa7iz_0gw0co_600x450.jpg
7316814989,16590,2016,jeep,renegade sport suv 4d,35835,clean,ZACCJBAW9GPC62449,other,red,https://images.craigslist.org/00w0w_fz5a524dBVIz_0gw0co_600x450.jpg
7316743432,26990,2016,ford,f150 regular cab xl pickup,14230,clean,1FTMF1CP3GKD62143,pickup,black,https://images.craigslist.org/00o0o_fxdOFlJ1s44z_0gw0co_600x450.jpg
7316356412,25590,2015,gmc,sierra 1500 regular cab,35290,clean,1GTN1TEH9FZ243281,pickup,white,https://images.craigslist.org/00M0M_lsdsAjyaG9sz_0gw0co_600x450.jpg
7316304717,28590,2018,ram,1500 quad cab express pickup,30047,clean,1C6RR6FG0JS259587,pickup,white,https://images.craigslist.org/01717_efubCoInmJKz_0gw0co_600x450.jpg
7316257769,25990,2019,ram,1500 classic regular cab,12302,clean,3C6JR6DT3KG560649,pickup,white,https://images.craigslist.org/00E0E_ibD9dHEQFGgz_0gw0co_600x450.jpg
7316133914,34990,2018,ford,mustang gt premium,18650,clean,1FATP8FF5J5115190,other,black,https://images.craigslist.org/00N0N_3UIW7jqJYo7z_0gw0co_600x450.jpg
7315770394,32990,2019,chevrolet,silverado 1500 ld,6897,clean,2GCVKNEC8K1187169,pickup,black,https://images.craigslist.org/00Q0Q_1KOmPdt9wZzz_0gw0co_600x450.jpg
7315715960,29990,2014,chevrolet,silverado 1500 double,26129,clean,1GCVKREC7EZ196951,pickup,brown,https://images.craigslist.org/00b0b_b7wMheEwhvGz_0gw0co_600x450.jpg
7315379459,23990,2016,chevrolet,silverado 1500 regular,41568,clean,1GCNCNEH4GZ259783,pickup,white,https://images.craigslist.org/00N0N_1xMPvfxRAIdz_0gw0co_600x450.jpg
7315275975,22990,2012,toyota,tacoma access cab pickup,37725,clean,5TFTX4CN6CX015282,pickup,white,https://images.craigslist.org/00404_fYRGB8mBiquz_0gw0co_600x450.jpg
7315275942,26990,2014,chevrolet,silverado 1500 crew,63129,clean,3GCPCREH5EG437908,pickup,black,https://images.craigslist.org/00J0J_5fxvu66nQHzz_0gw0co_600x450.jpg
7315270785,33990,2017,jeep,wrangler unlimited sahara,34152,clean,1C4HJWEG5HL696454,SUV,white,https://images.craigslist.org/00r0r_kDPOvvRmxPz_0gw0co_600x450.jpg
7314910156,26590,2020,honda,civic si coupe 2d,9954,clean,2HGFC3A51LH751302,coupe,silver,https://images.craigslist.org/00Z0Z_1s2m76Sn1Tgz_0gw0co_600x450.jpg
7314854462,18590,2018,honda,civic lx sedan 4d,28942,clean,19XFC2F59JE206832,sedan,white,https://images.craigslist.org/00H0H_b24A2x1GzuIz_0gw0co_600x450.jpg
